"emtak","tegevusala"
10121,"Linnuliha töötlemine ja säilitamine, k.a sulgede tootmine"
1013,"Liha- ja linnulihatoodete tootmine"
10131,"Liha- ja linnulihatoodete tootmine"
102,"Kala, vähilaadsete ja limuste töötlemine ja säilitamine"
1020,"Kala, vähilaadsete ja limuste töötlemine ja säilitamine"
10201,"Kala, vähilaadsete ja limuste töötlemine ja säilitamine"
103,"Puu- ja köögivilja töötlemine ja säilitamine"
1031,"Kartuli töötlemine ja säilitamine"
10311,"Kartuli töötlemine ja säilitamine"
1032,"Puu- ja köögiviljamahla tootmine"
10321,"Puu- ja köögiviljamahla tootmine"
1039,"Muu puu- ja köögivilja töötlemine ja säilitamine"
10391,"Muu puu- ja köögivilja töötlemine ja säilitamine"
104,"Taimse ja loomse õli ja rasva tootmine"
1041,"Õli ja rasva tootmine"
10411,"Õli ja rasva tootmine"
1042,"Margariini jms toidurasva tootmine"
10421,"Margariini jms toidurasva tootmine"
105,"Piimatoodete tootmine"
1051,"Piima töötlemine, piimatoodete ja juustu tootmine"
10511,"Värske piima töötlemine, rõõsa koore tootmine"
10512,"Juustu- ja kohupiimatootmine"
10519,"Muude piimatoodete tootmine, sh või tootmine"
1052,"Jäätisetootmine"
10521,"Jäätisetootmine"
106,"Jahu ja tangainete, tärklise ja tärklisetoodete tootmine"
1061,"Jahu ja tangainete tootmine"
10611,"Jahu ja tangainete tootmine, k.a jahvatamine"
1062,"Tärklise ja tärklisetoodete tootmine"
10621,"Tärklise ja tärklisetoodete tootmine"
107,"Pagari- ja makarontoodete tootmine"
1071,"Leivatootmine; säilitusaineteta pagaritoodete tootmine"
10711,"Leiva- ja saiatootmine; säilitusaineteta pagaritoodete tootmine"
1072,"Kuiviku- ja küpsisetootmine; säilitusainetega pagaritoodete tootmine"
10721,"Kuiviku- ja küpsisetootmine; säilitusainetega pagaritoodete tootmine"
1073,"Makaronide, nuudlite, kuskussi jms makarontoodete tootmine"
10731,"Makaronide, nuudlite, kuskussi jms makarontoodete tootmine"
108,"Muude toiduainete tootmine"
1081,"Suhkrutootmine"
10811,"Suhkrutootmine"
1082,"Kakao, šokolaadi ja suhkrukondiitritoodete tootmine"
10821,"Kakao, šokolaadi ja suhkrukondiitritoodete tootmine"
1083,"Tee ja kohvi töötlemine"
10831,"Tee ja kohvi töötlemine"
1084,"Maitseainete ja -kastmete tootmine"
10841,"Maitseainete ja -kastmete tootmine"
1085,"Valmistoitude tootmine"
10851,"Valmistoitude tootmine"
1086,"Homogeenitud toiduainete ja dieettoitude tootmine"
10861,"Homogeenitud toiduainete ja dieettoitude tootmine"
1089,"Mujal liigitamata toiduainete tootmine"
10891,"Mujal liigitamata toiduainete tootmine"
109,"Valmis loomasööda tootmine"
1091,"Valmissööda tootmine loomakasvatusele"
10911,"Valmissööda tootmine loomakasvatusele"
1092,"Lemmikloomade valmistoidu tootmine"
10921,"Lemmikloomade valmistoidu tootmine"
11,"Joogitootmine"
110,"Joogitootmine"
1101,"Kange alkoholi destilleerimine, rektifitseerimine ja segamine"
11011,"Kange alkoholi destilleerimine, rektifitseerimine ja segamine"
1102,"Viinamarjaveini tootmine"
11021,"Viinamarjaveini tootmine"
1103,"Siidri ja muu marja- ja puuviljaveini tootmine"
11031,"Siidri ja muu marja- ja puuviljaveini tootmine"
1104,"Muude destilleerimata kääritatud jookide tootmine"
11041,"Muude destilleerimata kääritatud jookide tootmine"
1105,"Õlletootmine"
11051,"Õlletootmine"
1106,"Linnasetootmine"
11061,"Linnasetootmine"
1107,"Alkoholivaba joogi tootmine; mineraalvee ja muu villitud vee tootmine"
11071,"Alkoholivaba joogi tootmine; mineraalvee ja muu villitud vee tootmine"
12,"Tubakatoodete tootmine"
120,"Tubakatoodete tootmine"
1200,"Tubakatoodete tootmine"
12001,"Tubakatoodete tootmine"
13,"Tekstiilitootmine"
131,"Tekstiilkiudude ettevalmistamine ja ketramine"
1310,"Tekstiilkiudude ettevalmistamine ja ketramine"
13101,"Tekstiilkiudude ettevalmistamine ja ketramine"
132,"Riidekudumine"
1320,"Riidekudumine"
13201,"Riidekudumine"
133,"Tekstiili viimistlemine"
1330,"Tekstiili viimistlemine"
13301,"Tekstiili viimistlemine"
139,"Muu tekstiilitootmine"
1391,"Silmkoe- ja heegelkanga (trikookanga) tootmine"
13911,"Silmkoe- ja heegelkanga (trikookanga) tootmine"
1392,"Valmis tekstiiltoodete tootmine, v.a rõivad"
13921,"Kodutekstiili tootmine, sh voodipesu, köögirätikud, kardinad, aknasisekatted jm eesriided"
13929,"Muude valmis tekstiiltoodete tootmine"
1393,"Vaipade ja vaipkatete tootmine"
13931,"Vaipade ja vaipkatete tootmine"
1394,"Nööri, köie ja võrgulina tootmine"
13941,"Nööri, köie ja võrgulina tootmine"
1395,"Lausriide ja lausriidest toodete tootmine, v.a rõivad"
13951,"Lausriide ja lausriidest toodete tootmine, v.a rõivad"
1396,"Tehnilise ja tööstusliku otstarbega tekstiilide tootmine"
13961,"Tehnilise ja tööstusliku otstarbega tekstiilide tootmine"
1399,"Mujal liigitamata tekstiilitootmine"
13991,"Mujal liigitamata tekstiilitootmine, sh kaunistusnööri-, tülli-, pitsi-, paela- ja tikanditootmine"
14,"Rõivatootmine"
141,"Rõivatootmine, v.a karusnahast rõivad"
1411,"Nahkrõivaste tootmine"
14111,"Nahkrõivaste tootmine"
1412,"Töörõivaste tootmine"
14121,"Töörõivaste tootmine"
1413,"Muude pealisrõivaste tootmine"
14131,"Muude pealisrõivaste tootmine, k.a rätsepatöö"
1414,"Alusrõivaste tootmine"
14141,"Alusrõivaste tootmine, sh t-särkide, päevasärkide, hommikumantlite, öösärkide jms tootmine"
1419,"Muude rõivaste ja rõivalisandite tootmine"
14191,"Peakatete valmistamine, k.a karusnahast"
14199,"Muude mujal liigitamata rõivaste ja rõivalisandite tootmine"
142,"Karusnahatoodete tootmine"
1420,"Karusnahatoodete tootmine"
14201,"Karusnahatoodete tootmine (v.a mütsid ja kindad)"
143,"Silmkoe- ja heegelrõivaste tootmine"
1431,"Suka- ja sokitootmine"
14311,"Suka- ja sokitootmine"
1439,"Muude silmkoe- ja heegelrõivaste tootmine"
14391,"Muude silmkoe- ja heegelrõivaste tootmine, nt pulloverid, kampsunid jms tooted"
15,"Nahatöötlemine ja nahktoodete tootmine"
151,"Nahatöötlemine ja -parkimine; kohvrite, käekottide, sadulsepatoodete ja rakmete tootmine; karusnaha töötlemine ja värvimine"
1511,"Nahatöötlemine ja -parkimine; karusnaha töötlemine ja värvimine"
15111,"Nahatöötlemine ja -parkimine; karusnaha töötlemine ja värvimine"
1512,"Kohvrite, käekottide, sadulsepatoodete, rakmete jms tootmine"
15121,"Kohvrite, käekottide jms kaupade tootmine"
15122,"Sadulsepatoodete tootmine (sadulad, hobuserakmed jm)"
15129,"Muude nahktoodete tootmine"
152,"Jalatsitootmine"
1520,"Jalatsitootmine"
15201,"Jalatsitootmine"
16,"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel;"
161,"Puidu saagimine ja hööveldamine"
1610,"Puidu saagimine ja hööveldamine"
16101,"Saematerjali tootmine"
16102,"Puidukuivatus, puidu immutamine ja keemiline töötlus"
16109,"Muude puidutöötlemissaaduste tootmine, sh hakkepuit, puitvill jms"
162,"Puidust, korgist, õlest ja punumismaterjalist toodete tootmine"
1621,"Spooni ja puitplaatide tootmine"
16211,"Spooni ja vineeri tootmine"
16212,"Puitlaast- ja puitkiudplaadi tootmine"
16219,"Muude puitplaatide tootmine"
1622,"Kilpparketi tootmine"
16221,"Kilpparketi tootmine"
1623,"Ehituspuusepa- ja tisleritoodete tootmine"
16231,"Puidust uste, akende, aknaluukide ja nende raamide tootmine (k.a väravad)"
16232,"Kokkupandavate puitehitiste (saunad, suvilad, majad) ja nende elementide tootmine"
16239,"Muude ehituspuusepa- ja tisleritoodete tootmine"
1624,"Puittaara tootmine"
16241,"Puittaara tootmine"
1629,"Muude puittoodete tootmine; korgist, õlest ja punumismaterjalist toodete tootmine"
16291,"Puidust tarbe- ja dekoratiivesemete jm puittoodete tootmine"
16292,"Korgist, õlest ja punumismaterjalist toodete tootmine"
17,"Paberi ja pabertoodete tootmine"
171,"Paberimassi, paberi ja papi tootmine"
1711,"Paberimassi tootmine"
17111,"Paberimassi tootmine"
1712,"Paberi- ja papitootmine"
17121,"Paberi- ja papitootmine"
172,"Paber- ja papptoodete tootmine"
1721,"Lainepaberi ja -papi ning paber- ja papptaara tootmine"
17211,"Lainepaberi ja -papi ning paber- ja papptaara tootmine"
1722,"Paberist kodu- ja hügieenitarvete ning tualettpaberi tootmine"
17221,"Paberist kodu- ja hügieenitarvete, k.a tekstiilvati ja vatist toodete tootmine"
1723,"Paberist kirjatarvete tootmine"
17231,"Paberist kirjatarvete tootmine"
1724,"Tapeeditootmine"
17241,"Tapeeditootmine"
1729,"Muude paber- ja papptoodete tootmine"
17291,"Muude paber- ja papptoodete tootmine"
18,"Trükindus ja salvestiste paljundus"
181,"Trükindus ja selle sidusalad"
1811,"Ajalehtede trükkimine"
18111,"Ajalehtede trükkimine"
1812,"Muu trükkimine"
18121,"Raamatute trükkimine"
18122,"Perioodikaväljaannete, ärikataloogide, reklaammaterjalide, äriblankettide jm kontoritarvete trükkimine"
18129,"Mujal liigitamata trükkimine, k.a siiditrükk"
1813,"Trükieelne tegevus"
18131,"Trükieelne tegevus"
1814,"Köitmine ja selle sidusalad"
18141,"Köitmine ja selle sidusalad"
182,"Salvestiste paljundus"
1820,"Salvestiste paljundus"
18201,"Salvestiste paljundus"
19,"Koksi ja puhastatud naftatoodete tootmine"
191,"Koksitootmine"
1910,"Koksitootmine"
19101,"Koksitootmine"
192,"Puhastatud naftatoodete tootmine"
1920,"Puhastatud naftatoodete tootmine"
19201,"Puhastatud naftatoodete tootmine"
20,"Kemikaalide ja keemiatoodete tootmine"
201,"Põhikemikaalide, väetise ja lämmastikuühendite tootmine; plasti ja sünteeskautšuki"
2011,"Tööstusgaaside tootmine"
20111,"Tööstusgaaside tootmine"
2012,"Värvainete ja pigmentide tootmine"
20121,"Värvainete ja pigmentide tootmine"
2013,"Muude anorgaaniliste põhikemikaalide tootmine"
20131,"Muude anorgaaniliste põhikemikaalide tootmine"
2014,"Muude orgaaniliste põhikemikaalide tootmine"
20141,"Muude orgaaniliste põhikemikaalide tootmine"
2015,"Väetiste ja lämmastikuühendite tootmine"
20151,"Väetiste ja lämmastikuühendite tootmine"
2016,"Plasti tootmine algkujul"
20161,"Plasti tootmine algkujul"
2017,"Sünteeskautšuki (toorkummi) tootmine algkujul"
20171,"Sünteeskautšuki (toorkummi) tootmine algkujul"
202,"Taimekaitsevahendite ja muude agrokeemiatoodete tootmine"
2020,"Taimekaitsevahendite ja muude agrokeemiatoodete tootmine"
20201,"Taimekaitsevahendite ja muude agrokeemiatoodete tootmine"
203,"Värvide, lakkide ja muude viimistlusvahendite ning trükivärvide ja mastiksite tootmine"
2030,"Värvide, lakkide ja muude viimistlusvahendite ning trükivärvide ja mastiksite tootmine"
20301,"Värvide, lakkide ja muude viimistlusvahendite ning trükivärvide ja mastiksite tootmine"
204,"Seebi, pesemis-, puhastus- ja poleervahendite, parfüümide ja tualetitarvete tootmine"
2041,"Seebi, pesemis-, puhastus- ja poleervahendite tootmine"
20411,"Seebi, pesemis-, puhastus- ja poleervahendite tootmine"
2042,"Parfüümide ja tualetitarvete tootmine"
20421,"Parfüümide ja tualetitarvete tootmine"
205,"Muude keemiatoodete tootmine"
2051,"Lõhkeaine tootmine"
20511,"Lõhkeaine tootmine"
20512,"Tikutootmine"
2052,"Liimitootmine"
20521,"Liimitootmine"
2053,"Eeterlike õlide tootmine"
20531,"Eeterlike õlide tootmine"
2059,"Mujal liigitamata keemiatoodete tootmine"
20591,"Mujal liigitamata keemiatoodete tootmine"
206,"Keemilise kiu tootmine"
2060,"Keemilise kiu tootmine"
20601,"Keemilise kiu tootmine"
21,"Põhifarmaatsiatoodete ja ravimpreparaatide tootmine"
211,"Põhifarmaatsiatoodete tootmine"
2110,"Põhifarmaatsiatoodete tootmine"
21101,"Põhifarmaatsiatoodete tootmine"
212,"Ravimpreparaatide tootmine"
2120,"Ravimpreparaatide tootmine"
21201,"Ravimpreparaatide tootmine"
22,"Kummi- ja plasttoodete tootmine"
221,"Kummitoodete tootmine"
2211,"Kummirehvide ja sisekummide tootmine; kummirehvide protekteerimine ja taastamine"
22111,"Kummirehvide ja sisekummide tootmine; kummirehvide protekteerimine ja taastamine"
2219,"Muude kummitoodete tootmine"
22191,"Kummiplaatide, -lehtede, -torude, -voolikute jms tootmine"
22199,"Mujal liigitamata kummitoodete tootmine"
222,"Plasttoodete tootmine"
2221,"Plastplaatide, -lehtede, -torude ja -profiilide tootmine"
22211,"Plastplaatide, -lehtede, -profiilide, -torude, -voolikute, -liitmike jms toodete tootmine"
2222,"Plasttaara tootmine"
22221,"Plasttaara tootmine"
2223,"Plastist ehitustoodete tootmine"
22231,"Plastist sanitaarseadmete tootmine (vannid, kraanikausid jne)"
22232,"Plastuste, -akende, -vaheseinte jms tootmine"
22239,"Muude plastist ehitustoodete tootmine"
2229,"Muude plasttoodete tootmine"
22291,"Muude plasttoodete tootmine"
23,"Muude mittemetalsetest mineraalidest toodete tootmine"
231,"Klaasi ja klaastoodete tootmine"
2311,"Lehtklaasi tootmine"
23111,"Lehtklaasi tootmine"
2312,"Lehtklaasi vormimine ja töötlemine"
23121,"Lehtklaasi vormimine ja töötlemine"
2313,"Klaasanumate tootmine"
23131,"Klaasnõude jm sisekujunduses kasutatavate klaasesemete tootmine"
23132,"Klaastaara tootmine"
2314,"Klaaskiutootmine"
23141,"Klaaskiutootmine"
2319,"Muu klaasi tootmine ja töötlemine, sh tehniline klaas"
23191,"Klaaspaketi jm klaasist ehitusmaterjali tootmine"
23199,"Muude klaastoodete ja tehnilise klaasi tootmine"
232,"Tulekindlate toodete tootmine"
2320,"Tulekindlate toodete tootmine"
23201,"Tulekindlate toodete tootmine"
233,"Savist ehitusmaterjalide tootmine"
2331,"Keraamiliste kivide ja plaatide tootmine"
23311,"Keraamiliste kivide ja plaatide tootmine"
2332,"Põletatud savist telliste, kivide ja muude ehitustoodete tootmine"
23321,"Põletatud savist telliste, kivide ja muude ehitustoodete tootmine"
234,"Muude portselan- ja keraamikatoodete tootmine"
2341,"Kodu- ja ehiskeraamika tootmine"
23411,"Kodu- ja ehiskeraamika tootmine"
2342,"Keraamiliste sanitaarseadmete tootmine"
23421,"Keraamiliste sanitaarseadmete tootmine"
2343,"Keraamiliste isolaatorite ja isolatsioonielementide tootmine"
23431,"Keraamiliste isolaatorite ja isolatsioonielementide tootmine"
2344,"Muu tehnilise keraamika tootmine"
23441,"Muu tehnilise keraamika tootmine"
2349,"Muu keraamika tootmine"
23491,"Muu keraamika tootmine"
235,"Tsemendi-, lubja- ja kipsitootmine"
2351,"Tsemenditootmine"
23511,"Tsemenditootmine"
2352,"Lubja- ja kipsitootmine"
23521,"Lubja- ja kipsitootmine"
236,"Betoon-, tsement- ja kipstoodete tootmine"
2361,"Betoonist ehitustoodete tootmine"
23611,"Kokkupandavate betoonehitiste ja nende elementide tootmine"
23619,"Betoonist muude ehitustoodete tootmine"
2362,"Kipsist ehitustoodete tootmine"
23621,"Kipsist ehitustoodete tootmine"
2363,"Valmis betoonisegu tootmine"
23631,"Valmis betoonisegu tootmine"
2364,"Mörditootmine"
23641,"Mörditootmine"
2365,"Kiudtsemendi tootmine"
23651,"Kiudtsemendi tootmine"
2369,"Muude betoon-, kips- ja tsementtoodete tootmine"
23691,"Muude betoon-, kips- ja tsementtoodete tootmine"
237,"Kivilõikamine, -vormimine ja -viimistlus"
2370,"Kivilõikamine, -vormimine ja -viimistlus"
23701,"Looduskivist hauakivide, -plaatide jms valmistamine"
23702,"Paekivist ja dolomiidist ehitusmaterjalide jm toodete tootmine"
23709,"Graniidist, marmorist jm looduslikust kivist toodete tootmine"
239,"Mujal liigitamata abrasiivtoodete ja mittemetalsetest mineraalidest toodete tootmine"
2391,"Abrasiivtoodete tootmine"
23911,"Abrasiivtoodete tootmine"
2399,"Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine"
23991,"Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine"
24,"Metallitootmine"
241,"Raua, terase ja ferrosulamite tootmine"
2410,"Raua, terase ja ferrosulamite tootmine"
24101,"Raua, terase ja ferrosulamite tootmine"
242,"Terastorude, -õõnesprofiilide jms -toruliitmike tootmine"
2420,"Terastorude, -õõnesprofiilide jms -toruliitmike tootmine"
24201,"Terasest torude, õõnesprofiilide jms toruliitmike tootmine"
243,"Muude terase esmatöötlustoodete tootmine"
2431,"Külmtõmbamine lattideks"
24311,"Külmtõmbamine lattideks"
2432,"Külmvaltsimine kitsasteks ribadeks"
24321,"Külmvaltsimine kitsasteks ribadeks"
2433,"Külmvormimine ja -painutamine"
24331,"Külmvormimine ja -painutamine"
2434,"Traadi külmtõmbamine"
24341,"Traadi külmtõmbamine"
244,"Vääris- ja mitteraudmetallide tootmine"
2441,"Väärismetallitootmine"
24411,"Väärismetallitootmine"
2442,"Alumiiniumitootmine"
24421,"Alumiiniumitootmine"
2443,"Plii-, tsingi- ja tinatootmine"
24431,"Plii-, tsingi- ja tinatootmine"
2444,"Vasetootmine"
24441,"Vasetootmine"
2445,"Muude mitteraudmetallide tootmine"
24451,"Muude mitteraudmetallide tootmine"
2446,"Tuumkütuse töötlemine"
24461,"Tuumkütuse töötlemine"
245,"Metallivalu"
2451,"Malmivalu"
24511,"Malmivalu"
2452,"Terasevalu"
24521,"Terasevalu"
2453,"Kergmetallide valu"
24531,"Kergmetallide valu"
2454,"Muude mitteraudmetallide valu"
24541,"Muude mitteraudmetallide valu"
25,"Metalltoodete tootmine, v.a masinad ja seadmed"
251,"Metallkonstruktsioonide tootmine"
2511,"Metallkonstruktsioonide ja nende osade tootmine"
25111,"Kokkupandavate metallehitiste tootmine"
25119,"Muude metallkonstruktsioonide ja nende osade tootmine"
2512,"Metalluste ja -akende tootmine"
25121,"Metalluste ja -akende tootmine"
252,"Metallpaakide, -reservuaaride ja -mahutite tootmine"
2521,"Keskkütteradiaatorite ja -kuumaveekatelde tootmine"
25211,"Keskkütteradiaatorite ja keskkütte-kuumaveekatelde tootmine"
2529,"Muude metallpaakide, -reservuaaride ja -mahutite tootmine"
25291,"Muude metallpaakide, -reservuaaride ja -mahutite tootmine"
253,"Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad"
2530,"Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad"
25301,"Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad"
254,"Relva- ja laskemoonatootmine"
2540,"Relva- ja laskemoonatootmine"
25401,"Relva- ja laskemoonatootmine"
255,"Metalli sepistamine, pressimine, stantsimine ja rullvaltsimine; pulbermetallurgia"
2550,"Metalli sepistamine, pressimine, stantsimine ja rullvaltsimine; pulbermetallurgia"
25501,"Metalli sepistamine, pressimine, stantsimine ja rullvaltsimine; pulbermetallurgia"
256,"Metallitöötlus ja metallpindade katmine; mehaaniline metallitöötlus"
2561,"Metallitöötlus ja metallpindade katmine"
25611,"Metallitöötlus ja metallpindade katmine"
2562,"Mehaaniline metallitöötlus"
25621,"Mehaaniline metallitöötlus"
257,"Lõike- ja tööriistade ning rauakaupade tootmine"
2571,"Lõike- ja söögiriistade tootmine"
25711,"Lõike- ja söögiriistade tootmine"
2572,"Lukkude ja hingede tootmine"
25721,"Lukkude ja hingede tootmine"
2573,"Tööriistade tootmine"
25731,"Valuvormide tootmine"
25739,"Muude tööriistade tootmine"
259,"Muude metalltoodete tootmine"
2591,"Terasvaatide jms mahutite tootmine"
25911,"Terasvaatide jms mahutite tootmine"
2592,"Kergmetalltaara tootmine"
25921,"Kergmetalltaara tootmine"
2593,"Traaditoodete, kettide ja vedrude tootmine"
25931,"Traaditoodete, kettide ja vedrude tootmine"
2594,"Kinnituselementide ja keermestatud toodete tootmine"
25941,"Kinnituselementide ja keermestatud toodete tootmine"
2599,"Mujal liigitamata metalltoodete tootmine"
25991,"Mujal liigitamata metalltoodete tootmine"
26,"Arvutite, elektroonika- ja optikaseadmete tootmine"
261,"Elektronkomponentide ja trükkplaatide tootmine"
2611,"Elektronkomponentide tootmine"
26111,"Elektronkomponentide tootmine"
2612,"Trükkplaatide tootmine"
26121,"Trükkplaatide tootmine"
262,"Arvutite ja arvuti välisseadmete tootmine"
2620,"Arvutite ja arvuti välisseadmete tootmine"
26201,"Arvutite ja arvuti välisseadmete tootmine"
263,"Sideseadmete tootmine"
2630,"Sideseadmete tootmine"
26301,"Sideseadmete tootmine"
264,"Tarbeelektroonika tootmine"
2640,"Tarbeelektroonika tootmine"
26401,"Tarbeelektroonika tootmine"
265,"Mõõte-, katse- ja navigatsiooniseadmete tootmine; ajanäitajate tootmine"
2651,"Mõõte-, katse- ja navigatsiooniseadmete tootmine"
26511,"Mõõte-, katse- ja navigatsiooniseadmete tootmine"
2652,"Ajanäitajate tootmine"
26521,"Ajanäitajate tootmine"
